seed,algorithm,mean_reward,std_reward,mean_yield,mean_irrigation,rewards
1,PPO,-10.0,0.0,,,"[-601.5237426757812, -682.7609252929688, -640.1509399414062, -641.0238037109375, -610.3753051757812, -672.7609252929688, -631.533935546875, -621.4315185546875, -594.0150756835938, -621.6966552734375, -633.216796875, -530.1275024414062, -572.2526245117188, -663.500732421875, -610.5621337890625, -590.607177734375, -530.1620483398438, -521.10107421875, -581.10546875, -533.928955078125, -551.51708984375, -510.36285400390625, -470.5858459472656, -451.2760925292969, -560.6102294921875, -651.6976928710938, -511.11090087890625, -614.0150756835938, -621.5323486328125, -491.1025390625, -542.253173828125, -441.12408447265625, -471.5201416015625, -512.2181396484375, -491.5216369628906, -431.5894470214844, -504.01507568359375, -532.4463500976562, -413.92608642578125, -493.2120056152344, -351.47479248046875, -510.4390563964844, -461.6300048828125, -541.4312744140625, -490.6208190917969, -541.5275268554688, -420.43792724609375, -454.0136413574219, -443.9288635253906, -290.1742858886719, -444.0103454589844, -382.7669982910156, -381.6213073730469, -340.55621337890625, -401.2853698730469, -371.5146179199219, -343.100830078125, -393.4964599609375, -380.1730651855469, -371.0997009277344, -351.510498046875, -281.1205749511719, -391.67327880859375, -322.2054748535156, -280.1754150390625, -290.7981872558594, -341.411865234375, -351.09149169921875, -340.18084716796875, -330.59783935546875, -293.4801025390625, -293.2212219238281, -402.76129150390625, -402.2429504394531, -323.93011474609375, -261.0562744140625, -291.47650146484375, -332.4171447753906, -251.53866577148438, -280.2229309082031, -234.2825164794922, -300.1438293457031, -330.98455810546875, -222.4165496826172, -320.75799560546875, -280.2790222167969, -215.50758361816406, -270.9798889160156, -201.58575439453125, -340.437255859375, -271.6396789550781, -321.0720520019531, -341.0429992675781, -320.4364929199219, -343.93780517578125, -292.222412109375, -290.2402648925781, -331.52081298828125, -292.37274169921875, -291.12109375, -340.5078430175781, -370.9006042480469, -320.9701232910156, -250.32565307617188, -340.1920471191406, -330.3623046875, -252.55674743652344, -253.20399475097656, -262.7615966796875, -282.33587646484375, -291.0744323730469, -290.2047119140625, -271.3885192871094, -250.06948852539062, -292.39093017578125, -290.5369567871094, -232.7664337158203, -283.996826171875, -321.50390625, -241.71961975097656, -191.71710205078125, -243.46212768554688, -252.7611846923828, -212.7699737548828, -280.97412109375, -143.22451782226562, -193.99078369140625, -162.42071533203125, -251.14566040039062, -240.46046447753906, -221.6178436279297, -171.02915954589844, -230.2222900390625, -221.0899200439453, -161.04464721679688, -193.9959716796875, -174.01278686523438, -223.46829223632812, -171.62112426757812, -180.92214965820312, -182.33016967773438, -117.98827362060547, -151.08889770507812, -181.69613647460938, -203.89471435546875, -121.59365844726562, -211.0848846435547, -115.0250244140625, -190.9832305908203, -201.03932189941406, -119.88449096679688, -161.10427856445312, -153.9923858642578, -133.8597412109375, -181.5979461669922, -212.01217651367188]"
1,DQN,-637.1014209990001,194.28164775497623,,,"[-671.5291748046875, -691.060546875, -672.474365234375, -611.7111206054688, -611.0606079101562, -681.6953735351562, -580.5611572265625, -642.2154541015625, -662.2318115234375, -650.5791625976562, -601.6293334960938, -830.3642578125, -563.2114868164062, -820.611083984375, -811.5252075195312, -533.4974365234375, -930.365234375, -671.5167236328125, -543.4906005859375, -741.425537109375, -642.4524536132812, -393.9676818847656, -840.4586181640625, -910.452392578125, -680.6428833007812, -911.504150390625, -721.0606689453125, -641.6188354492188, -880.4393920898438, -940.3629150390625, -651.0892333984375, -890.4285888671875, -751.1239013671875, -650.4015502929688, -801.0282592773438, -671.5032958984375, -462.79852294921875, -642.4693603515625, -602.1492309570312, -521.0885009765625, -433.9765625, -860.6544189453125, -630.310302734375, -571.6770629882812, -552.18212890625, -841.45556640625, -253.37503051757812, -681.5477905273438, -591.0132446289062, -473.4855651855469, -740.364501953125, -620.6424560546875, -771.4624633789062, -611.6799926757812, -492.2466125488281, -253.98483276367188, -970.458740234375, -711.1094360351562, -363.4530334472656, -691.124267578125, -551.744140625, -642.7985229492188, -700.5675048828125, -720.2130126953125, -263.4411315917969, -680.7105102539062, -333.4117126464844, -970.35791015625, -710.4126586914062, -563.9646606445312, -760.1853637695312, -682.7985229492188, -533.1587524414062, -501.782958984375, -821.0184936523438, -731.5029907226562, -541.5029296875, -581.43505859375, -561.5380859375, -560.3795166015625, -483.923583984375, -562.7843017578125, -491.68548583984375, -561.0347900390625, -540.5953979492188, -361.7171325683594, -721.5043334960938, -491.6854553222656, -414.01605224609375, -660.566650390625, -501.11761474609375, -691.1194458007812, -364.0115661621094, -492.78265380859375, -582.0553588867188, -671.034423828125, -701.1144409179688, -381.62939453125, -401.7332763671875, -681.1161499023438, -442.1898193359375, -393.128662109375, -492.2403869628906, -720.4386596679688, -641.0797729492188, -590.5963745117188, -363.9576110839844, -591.119384765625, -820.201416015625, -462.4638977050781, -601.0867919921875, -382.79852294921875, -353.9854736328125, -611.5816040039062, -391.6496276855469, -423.4020690917969, -332.3993835449219, -840.5449829101562, -640.2232666015625, -780.6106567382812, -542.4414672851562, -682.4439697265625, -511.49462890625, -371.16717529296875, -591.5946655273438, -561.0084228515625, -680.4125366210938, -660.6528930664062, -293.13897705078125, -363.9610290527344, -354.0146789550781, -811.0167846679688, -571.74072265625, -590.3618774414062, -620.1841430664062, -601.114501953125, -561.1253662109375, -403.9726257324219, -640.578857421875, -283.4496765136719, -621.4947509765625, -620.4397583007812, -572.4075927734375, -253.92857360839844, -671.066162109375, -640.3418579101562, -680.3634643554688, -601.10888671875, -313.159423828125, -570.248046875, -521.5043334960938, -571.6173706054688]"
1,ARS,-10.0,0.0,,,[]
2,PPO,-1290.643896699,0.9860613429034988,,,"[-611.028076171875, -651.441162109375, -543.5006713867188, -581.016845703125, -662.7609252929688, -690.5958251953125, -652.7666625976562, -661.0114135742188, -652.23974609375, -521.5009155273438, -591.1128540039062, -632.7618408203125, -551.4566650390625, -620.4283447265625, -560.4373168945312, -721.5320434570312, -693.5006103515625, -660.657958984375, -650.1751098632812, -700.609375, -693.4962768554688, -631.5130615234375, -744.0150756835938, -691.5194702148438, -771.111083984375, -680.431884765625, -720.4307250976562, -661.1001586914062, -650.60498046875, -681.5227661132812, -734.0183715820312, -700.6256103515625, -670.42919921875, -701.6962890625, -571.1289672851562, -680.1817626953125, -713.942626953125, -600.4306030273438, -711.1116333007812, -630.5203247070312, -761.111083984375, -683.2180786132812, -701.7008056640625, -680.6513671875, -620.3590698242188, -711.6563720703125, -761.1128540039062, -723.2284545898438, -830.6051025390625, -790.1500854492188, -741.0623168945312, -764.0150756835938, -781.6293334960938, -762.2379150390625, -711.06103515625, -821.6566772460938, -653.4923706054688, -732.7609252929688, -810.169677734375, -861.7176513671875, -812.2412719726562, -691.5222778320312, -750.4329833984375, -691.6288452148438, -730.1788940429688, -650.5875244140625, -690.35791015625, -680.3750610351562, -632.3914184570312, -741.5407104492188, -760.3720092773438, -731.43212890625, -731.4306030273438, -722.7609252929688, -661.5380249023438, -620.35791015625, -670.35791015625, -751.060546875, -681.6287841796875, -682.7609252929688, -591.1178588867188, -601.01953125, -790.3546752929688, -604.015869140625, -670.567138671875, -710.6099853515625, -791.1110229492188, -811.504150390625, -713.9287109375, -730.632080078125, -760.35791015625, -651.1192626953125, -742.1985473632812, -663.2206420898438, -721.435302734375, -780.6071166992188, -851.5064697265625, -751.5286865234375, -753.218505859375, -811.111083984375, -803.2180786132812, -852.2388916015625, -841.1001586914062, -833.218017578125, -831.0659790039062, -850.1500854492188, -711.0210571289062, -711.4877319335938, -810.5621337890625, -813.2180786132812, -870.1527099609375, -853.5013427734375, -911.6293334960938, -891.6962890625, -911.5388793945312, -813.2144775390625, -950.43017578125, -840.35791015625, -921.6283569335938, -900.3525390625, -854.0150756835938, -870.4310302734375, -841.5219116210938, -911.43212890625, -971.1001586914062, -831.7147216796875, -892.2386474609375, -771.6283569335938, -910.4291381835938, -943.50048828125, -863.928955078125, -781.504150390625, -811.527099609375, -914.0150756835938, -830.1508178710938, -891.0145263671875, -881.695556640625, -900.43310546875, -834.0150756835938, -853.2180786132812, -823.928955078125, -811.43212890625, -843.5006713867188, -731.5030517578125, -913.5009765625, -921.0145263671875, -873.2180786132812, -750.35791015625, -830.35791015625, -892.7609252929688, -894.0150756835938, -761.5218505859375, -981.6283569335938, -892.445556640625, -860.6068725585938, -910.1505126953125]"
2,DQN,-398.73857263099995,306.824625011148,,,"[-641.0206909179688, -662.761962890625, -671.501708984375, -631.1072998046875, -581.528564453125, -680.20068359375, -700.435302734375, -820.1497192382812, -671.5242919921875, -611.5308227539062, -741.0634155273438, -682.4473876953125, -491.7009582519531, -582.4716186523438, -821.5265502929688, -561.1297607421875, -680.6546020507812, -830.361328125, -711.5758666992188, -362.2852478027344, -482.7592468261719, -691.1102905273438, -363.9862060546875, -432.4862060546875, -501.5104064941406, -204.08816528320312, -641.5775756835938, -610.4048461914062, -249.56027221679688, -183.80557250976562, -482.46246337890625, -561.6409912109375, -660.3325805664062, -720.9046630859375, -422.11248779296875, -544.0030517578125, -461.6665344238281, -315.21112060546875, -721.0537109375, -521.4429321289062, -681.4225463867188, -362.7912292480469, -342.4252014160156, -370.6590576171875, -730.251708984375, -651.10009765625, -630.4370727539062, -671.3467407226562, -391.5724792480469, -373.9698181152344, -452.04254150390625, -600.5197143554688, -381.7055969238281, -481.6430358886719, -611.02978515625, -461.48748779296875, -420.58282470703125, -560.6004638671875, -441.5866394042969, -450.6169128417969, -401.08880615234375, -531.0794067382812, -341.0378723144531, -344.01922607421875, -211.75582885742188, -293.69281005859375, -101.83427429199219, -500.4884033203125, -331.64007568359375, -532.236083984375, -581.1603393554688, -431.1007995605469, -241.65359497070312, -370.6161193847656, -431.193603515625, -403.9952697753906, -552.7597045898438, -451.6084899902344, -250.9806671142578, -540.7034912109375, -561.500244140625, -522.202880859375, -410.7294921875, -361.6344909667969, -324.0345764160156, -142.27108764648438, -601.5103149414062, -272.76593017578125, -641.0702514648438, -245.17236328125, -630.6304321289062, -192.82188415527344, -361.10589599609375, -431.167724609375, -551.4976196289062, -520.4234619140625, -510.9499206542969, -603.937255859375, -362.15618896484375, -264.7800598144531, -511.58966064453125, -391.73681640625, -480.7247314453125, -273.6567077636719, -364.1708068847656, -460.28125, -480.9825134277344, -423.19525146484375, -401.052490234375, -363.8963928222656, -294.4393310546875, -531.5272216796875, -511.62261962890625, -242.5623321533203, -181.7665557861328, -331.594482421875, -410.7621765136719, -412.7420654296875, -570.8961181640625, -461.65765380859375, -422.75970458984375, -390.9735412597656, -521.4653930664062, -421.030517578125, -461.0154113769531, -264.8477783203125, -490.6678161621094, -411.4853210449219, -301.56243896484375, -411.89813232421875, -460.9678649902344, -530.5281372070312, -281.1676330566406, -580.986083984375, -105.87357330322266, -284.1866455078125, -282.0238952636719, -391.6156921386719, -314.0529479980469, -381.6933898925781, -312.7619323730469, -470.4806823730469, -331.05535888671875, -391.7723083496094, -331.7149658203125, -182.4126739501953, -501.1741027832031, -160.21060180664062, -360.520263671875, -651.0293579101562, -641.091552734375, -312.5312194824219]"
2,ARS,-10.0,0.0,,,[]
