agent_name,mean_reward,std_reward,mean_yield,std_yield,mean_irrigation,std_irrigation
PPO_seed_1,35183.04,3248.4475,13.880478337083078,0.3137069206204983,193.5,94.57933178025736
PPO_seed_2,35647.39,2895.6277,13.910359123356612,0.25393653018214424,186.0,86.3365507765975
PPO_seed_3,34688.316,3317.3894,13.852945290016555,0.3263883257155204,207.0,91.79324593890337
PPO_seed_4,35045.88,3197.7327,13.875872895989021,0.3176257733873021,199.5,93.20541829743591
PPO_seed_5,35084.668,3239.7327,13.880232083036535,0.31720835209698706,199.5,94.20589153550854
DQN_seed_1,29077.998,6644.9233,13.405865896223213,0.5808237566248476,291.75,65.67486200975226
DQN_seed_2,29919.164,6348.264,13.470383102481156,0.5612544377493167,282.5,61.08395861435308
DQN_seed_3,27874.338,6592.611,13.290796865927057,0.5731069940941175,295.5,67.11743439673481
DQN_seed_4,28736.957,6635.4956,13.370615070346368,0.5700399350933621,290.0,70.71067811865476
DQN_seed_5,28882.67,6732.3438,13.391684038620335,0.5875581692335256,294.0,68.11020481543129
RandomAgent_seed_1,-72809.79,20079.611,13.94213857783444,0.32424297068953517,1651.25,147.0278460020414
RandomAgent_seed_2,-69663.97,15737.343,13.96929136317417,0.27147232344822125,1632.25,121.72176263922569
RandomAgent_seed_3,-73345.24,19343.049,13.909132031455412,0.32831945098698956,1652.0,148.81532179181013
RandomAgent_seed_4,-73156.414,19455.451,13.939620034413222,0.32850636180739023,1653.75,141.9231746403666
RandomAgent_seed_5,-73481.164,20372.652,13.948382167344676,0.3268790784183901,1657.0,151.4958745312888
